fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,wage_geo_level,wage_year,wage_source
48325,TX,Medina County,53547.0,9493.0,0.17728350794629016,0.267249552301696,0.17072851887127197,78074.0,14.4,6.6,6.1,14.3,914.0,96.2814705572527,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48327,TX,Menard County,1955.0,653.0,0.3340153452685422,0.24196018376722817,0.2680306905370844,53043.0,17.6,10.3,9.8,17.0,11.0,16.84532924961715,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48329,TX,Midland County,174801.0,18782.0,0.10744789789532097,0.3242998615695879,0.11043415083437738,92874.0,10.8,4.7,4.9,12.4,1119.0,59.57831966776701,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48331,TX,Milam County,25567.0,5588.0,0.2185629913560449,0.2755905511811024,0.15609965971760473,66141.0,14.9,8.0,8.5,15.5,374.0,66.92913385826772,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48333,TX,Mills County,4511.0,1168.0,0.258922633562403,0.2183219178082192,0.15584127687874086,67620.0,14.1,8.6,8.3,14.6,79.0,67.63698630136987,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48335,TX,Mitchell County,9018.0,1317.0,0.14604125083167,0.30296127562642367,0.13628298957640275,60550.0,13.3,6.5,7.0,14.8,198.0,150.34168564920273,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48337,TX,Montague County,21046.0,4593.0,0.21823624441699135,0.27912040060962334,0.18336025848142165,64545.0,13.4,8.0,8.8,15.3,353.0,76.85608534726758,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48339,TX,Montgomery County,684432.0,94057.0,0.1374234401664446,0.19361663672028664,0.10433468920214134,97701.0,11.4,5.3,5.6,12.2,6820.0,72.50922313065482,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48341,TX,Moore County,21373.0,2394.0,0.11201048051279652,0.25856307435254805,0.1053197960043045,61762.0,14.9,6.5,6.8,16.0,158.0,65.99832915622389,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48343,TX,Morris County,12076.0,2643.0,0.2188638622060285,0.2709042754445706,0.21654521364690293,58645.0,15.9,8.4,9.4,16.1,267.0,101.02156640181612,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48345,TX,Motley County,1183.0,350.0,0.2958579881656805,0.16857142857142857,0.2231614539306847,61154.0,14.7,9.1,9.2,15.4,18.0,51.42857142857143,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48347,TX,Nacogdoches County,65162.0,10242.0,0.15717749608667628,0.26537785588752194,0.15377060249838864,53555.0,13.2,6.8,7.9,14.7,1031.0,100.66393282562,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48349,TX,Navarro County,54711.0,9125.0,0.16678547275684963,0.23473972602739726,0.16371479227212077,63111.0,15.3,7.6,8.6,16.0,798.0,87.45205479452055,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48351,TX,Newton County,12093.0,2839.0,0.23476391300752503,0.2726312081718915,0.1700157115686761,42618.0,18.6,10.5,13.0,19.2,265.0,93.34272631208172,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48353,TX,Nolan County,14454.0,2823.0,0.19530925695309256,0.32164364151611763,0.19427148194271482,50747.0,16.5,8.5,9.4,17.3,269.0,95.2886999645767,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
